Chip	Array	Probe
253118111412	1_1	G4
253118111412	1_2	G6
253118111412	1_3	G8
253118111412	1_4	G11
253118111412	2_1	G13
253118111412	2_2	G14
253118111412	2_3	G81
253118111412	2_4	G87
253118111391	1_1	G16
253118111391	1_2	G18
253118111391	1_3	G24
253118111391	1_4	G25
253118111391	2_1	G27
253118111391	2_2	G29
253118111391	2_3	G32
253118111391	2_4	G36
253118111428	1_1	G37
253118111428	1_2	G39
253118111428	1_3	G42
253118111428	1_4	G44
253118111428	2_1	G45
253118111428	2_2	G47
253118111428	2_3	G48
253118111428	2_4	G50
253118111158	1_1	G51
253118111158	1_2	G53
253118111158	1_3	G54
253118111158	1_4	G56
253118111158	2_1	G58
253118111158	2_2	G77
253118111158	2_3	G79
253118111158	2_4	G80
253118111182	1_1	G70
253118111182	1_2	G71
253118111182	1_3	G78
253118111182	1_4	G82
253118111182	2_2	G84
253118111182	2_3	G86
253118111182	2_4	G88
